h3name,entity,category
AAGLATTK,archangel,creature:castle
AAGLDFND,archangel,creature:castle
AAGLKILL,archangel,creature:castle
AAGLMOVE,archangel,creature:castle
AAGLWNCE,archangel,creature:castle
ACID,acidBreath,spell
ADVLATTK,archDevil,creature:inferno
ADVLDFND,archDevil,creature:inferno
ADVLEXT1,archDevil,creature:inferno
ADVLEXT2,archDevil,creature:inferno
ADVLKILL,archDevil,creature:inferno
ADVLMOVE,archDevil,creature:inferno
ADVLWNCE,archDevil,creature:inferno
AELMATTK,airElemental,creature:conflux
AELMDFND,airElemental,creature:conflux
AELMKILL,airElemental,creature:conflux
AELMMOVE,airElemental,creature:conflux
AELMWNCE,airElemental,creature:conflux
AGE,age,spell
AGRMATTK,gremlin,creature:tower
AGRMDFND,gremlin,creature:tower
AGRMKILL,gremlin,creature:tower
AGRMMOVE,gremlin,creature:tower
AGRMSHOT,gremlin,creature:tower
AGRMWNCE,gremlin,creature:tower
AIRSHELD,airShield,spell
ALIZATTK,lizardWarrior,creature:fortress
ALIZDFND,lizardWarrior,creature:fortress
ALIZKILL,lizardWarrior,creature:fortress
ALIZMOVE,lizardWarrior,creature:fortress
ALIZSHOT,lizardWarrior,creature:fortress
ALIZWNCE,lizardWarrior,creature:fortress
AMAGATTK,archMage,creature:tower
AMAGDFND,archMage,creature:tower
AMAGKILL,archMage,creature:tower
AMAGMOVE,archMage,creature:tower
AMAGSHOT,archMage,creature:tower
AMAGWNCE,archMage,creature:tower
ANGLATTK,angel,creature:castle
ANGLDFND,angel,creature:castle
ANGLKILL,angel,creature:castle
ANGLMOVE,angel,creature:castle
ANGLWNCE,angel,creature:castle
ANIMDEAD,animateDead,spell
ANTIMAGK,antiMagic,spell
APEGATTK,silverPegasus,creature:rampart
APEGDFND,silverPegasus,creature:rampart
APEGKILL,silverPegasus,creature:rampart
APEGMOVE,silverPegasus,creature:rampart
APEGWNCE,silverPegasus,creature:rampart
ARMGEDN,armageddon,spell
AZURATTK,azureDragon,creature:neutral
AZURDFND,azureDragon,creature:neutral
AZURKILL,azureDragon,creature:neutral
AZURMOVE,azureDragon,creature:neutral
AZURWNCE,azureDragon,creature:neutral
BACKLASH,magicMirror,spell
BADLUCK,BADLUCK,misc
BADMRLE,BADMRLE,misc
BALLKILL,BALLKill,misc
BALLSHOT,BALLShot,misc
BALLWNCE,BALLWNCE,misc
BASLATTK,basilisk,creature:fortress
BASLDFND,basilisk,creature:fortress
BASLKILL,basilisk,creature:fortress
BASLMOVE,basilisk,creature:fortress
BASLWNCE,basilisk,creature:fortress
BATTLE00,battle00,misc
BATTLE01,battle01,misc
BATTLE02,battle02,misc
BATTLE03,battle03,misc
BATTLE04,battle04,misc
BATTLE05,battle05,misc
BATTLE06,battle06,misc
BATTLE07,battle07,misc
BDRFATTK,battleDwarf,creature:rampart
BDRFDFND,battleDwarf,creature:rampart
BDRFKILL,battleDwarf,creature:rampart
BDRFMOVE,battleDwarf,creature:rampart
BDRFWNCE,battleDwarf,creature:rampart
BERSERK,berserk,spell
BGORATTK,mightyGorgon,creature:fortress
BGORDFND,mightyGorgon,creature:fortress
BGORKILL,mightyGorgon,creature:fortress
BGORMOVE,mightyGorgon,creature:fortress
BGORWNCE,mightyGorgon,creature:fortress
BHDRATTK,beholder,creature:dungeon
BHDRDETH,BHDRDETH,misc
BHDRDFND,beholder,creature:dungeon
BHDRKILL,beholder,creature:dungeon
BHDRMOVE,beholder,creature:dungeon
BHDRSHOT,beholder,creature:dungeon
BHDRWNCE,beholder,creature:dungeon
BIND,bind,spell
BKDRATTK,blackDragon,creature:dungeon
BKDRDFND,blackDragon,creature:dungeon
BKDRKILL,blackDragon,creature:dungeon
BKDRMOVE,blackDragon,creature:dungeon
BKDRWNCE,blackDragon,creature:dungeon
BKNTATTK,blackKnight,creature:necropolis
BKNTDFND,blackKnight,creature:necropolis
BKNTKILL,blackKnight,creature:necropolis
BKNTMOVE,blackKnight,creature:necropolis
BKNTWNCE,blackKnight,creature:necropolis
BLESS,bless,spell
BLIND,blind,spell
BLOODLUS,bloodlust,spell
BLRDATTK,dreadKnight,creature:necropolis
BLRDDFND,dreadKnight,creature:necropolis
BLRDKILL,dreadKnight,creature:necropolis
BLRDMOVE,dreadKnight,creature:necropolis
BLRDWNCE,dreadKnight,creature:necropolis
BMTHATTK,ancientBehemoth,creature:stronghold
BMTHDFND,ancientBehemoth,creature:stronghold
BMTHKILL,ancientBehemoth,creature:stronghold
BMTHMOVE,ancientBehemoth,creature:stronghold
BMTHWNCE,ancientBehemoth,creature:stronghold
BOARATTK,boar,creature:neutral
BOARDFND,boar,creature:neutral
BOARKILL,boar,creature:neutral
BOARMOVE,boar,creature:neutral
BOARWNCE,boar,creature:neutral
BODRATTK,boneDragon,creature:necropolis
BODRDFND,boneDragon,creature:necropolis
BODRKILL,boneDragon,creature:necropolis
BODRMOVE,boneDragon,creature:necropolis
BODRWNCE,boneDragon,creature:necropolis
BTREATTK,dendroidSoldier,creature:rampart
BTREDFND,dendroidSoldier,creature:rampart
BTREKILL,dendroidSoldier,creature:rampart
BTREMOVE,dendroidSoldier,creature:rampart
BTREWNCE,dendroidSoldier,creature:rampart
BUILDTWN,newBuilding,misc
BUTTON,button,misc
CALFATTK,masterGenie,creature:tower
CALFDFND,masterGenie,creature:tower
CALFKILL,masterGenie,creature:tower
CALFMOVE,masterGenie,creature:tower
CALFSHOT,masterGenie,creature:tower
CALFWNCE,masterGenie,creature:tower
CARTKILL,CARTKill,misc
CARTWNCE,CARTWNCE,misc
CATAKILL,CATAKill,misc
CATASHOT,CATAShot,misc
CATAWNCE,CATAWNCE,misc
CAVAATTK,cavalier,creature:castle
CAVADFND,cavalier,creature:castle
CAVAKILL,cavalier,creature:castle
CAVAMOVE,cavalier,creature:castle
CAVAWNCE,cavalier,creature:castle
CAVEHEAD,CAVEHEAD,misc
CCYCATTK,cyclop,creature:stronghold
CCYCDFND,cyclop,creature:stronghold
CCYCKILL,cyclop,creature:stronghold
CCYCMOVE,cyclop,creature:stronghold
CCYCSHOT,cyclop,creature:stronghold
CCYCWNCE,cyclop,creature:stronghold
CERBATTK,cerberus,creature:inferno
CERBDFND,cerberus,creature:inferno
CERBKILL,cerberus,creature:inferno
CERBMOVE,cerberus,creature:inferno
CERBWNCE,cerberus,creature:inferno
CGORATTK,gorgon,creature:fortress
CGORDFND,gorgon,creature:fortress
CGORKILL,gorgon,creature:fortress
CGORMOVE,gorgon,creature:fortress
CGORWNCE,gorgon,creature:fortress
CHAINLTE,chainLightning,spell
CHAT,chat,misc
CHEST,chest,misc
CHMPATTK,champion,creature:castle
CHMPDFND,champion,creature:castle
CHMPKILL,champion,creature:castle
CHMPMOVE,champion,creature:castle
CHMPWNCE,champion,creature:castle
CHYDATTK,chaosHydra,creature:fortress
CHYDDFND,chaosHydra,creature:fortress
CHYDKILL,chaosHydra,creature:fortress
CHYDMOVE,chaosHydra,creature:fortress
CHYDWNCE,chaosHydra,creature:fortress
CLIMAX,CLIMAX,misc
CLONE,clone,spell
CNTRATTK,centaur,creature:rampart
CNTRDFND,centaur,creature:rampart
CNTRKILL,centaur,creature:rampart
CNTRMOVE,centaur,creature:rampart
CNTRSHOT,centaur,creature:rampart
CNTRSTRK,counterstrike,spell
CNTRWNCE,centaur,creature:rampart
COLDRAY,COLDRAY,misc
COLDRING,COLDRING,misc
CRUSATTK,crusader,creature:castle
CRUSDFND,crusader,creature:castle
CRUSKILL,crusader,creature:castle
CRUSMOVE,crusader,creature:castle
CRUSWNCE,crusader,creature:castle
CRYSATTK,crystalDragon,creature:neutral
CRYSDFND,crystalDragon,creature:neutral
CRYSKILL,crystalDragon,creature:neutral
CRYSMOVE,crystalDragon,creature:neutral
CRYSWNCE,crystalDragon,creature:neutral
CURE,cure,spell
CURSE,curse,spell
CYCLATTK,cyclopKing,creature:stronghold
CYCLDFND,cyclopKing,creature:stronghold
CYCLKILL,cyclopKing,creature:stronghold
CYCLMOVE,cyclopKing,creature:stronghold
CYCLSHOT,cyclopKing,creature:stronghold
CYCLWNCE,cyclopKing,creature:stronghold
DANGER,DANGER,misc
DEATHBLO,deathBlow,misc
DEATHCLD,deathCloud,spell
DEATHRIP,deathRipple,spell
DEATHSTR,deathStare,spell
DECAY,implosion,spell
DEFAULT,DEFAULT,misc
DEVLATTK,devil,creature:inferno
DEVLDFND,devil,creature:inferno
DEVLEXT1,devil,creature:inferno
DEVLEXT2,devil,creature:inferno
DEVLKILL,devil,creature:inferno
DEVLMOVE,devil,creature:inferno
DEVLWNCE,devil,creature:inferno
DFLYATTK,serpentFly,creature:fortress
DFLYDFND,serpentFly,creature:fortress
DFLYKILL,serpentFly,creature:fortress
DFLYMOVE,serpentFly,creature:fortress
DFLYWNCE,serpentFly,creature:fortress
DGLMATTK,diamondGolem,creature:neutral
DGLMDFND,diamondGolem,creature:neutral
DGLMKILL,diamondGolem,creature:neutral
DGLMMOVE,diamondGolem,creature:neutral
DGLMWNCE,diamondGolem,creature:neutral
DHDMATTK,hornedDemon,creature:inferno
DHDMDFND,hornedDemon,creature:inferno
DHDMKILL,hornedDemon,creature:inferno
DHDMMOVE,hornedDemon,creature:inferno
DHDMWNCE,hornedDemon,creature:inferno
DIGSOUND,Dig,misc
DIPMAGK,DIPMAGK,misc
DISEASE,disease,spell
DISGUISE,DISGUISE,misc
DISPELL,dispel,spell
DISRUPTR,disruptingRay,spell
DRAGON,dragonHall,misc
DRAINLIF,DRAINLIF,misc
DRAWBRG,DRAWBRG,misc
DRGNSLAY,DRGNSLAY,misc
DWRFATTK,dwarf,creature:rampart
DWRFDFND,dwarf,creature:rampart
DWRFKILL,dwarf,creature:rampart
DWRFMOVE,dwarf,creature:rampart
DWRFWNCE,dwarf,creature:rampart
ECNTATTK,centaurCaptain,creature:rampart
ECNTDFND,centaurCaptain,creature:rampart
ECNTKILL,centaurCaptain,creature:rampart
ECNTMOVE,centaurCaptain,creature:rampart
ECNTWNCE,centaurCaptain,creature:rampart
EELMATTK,earthElemental,creature:conflux
EELMDFND,earthElemental,creature:conflux
EELMKILL,earthElemental,creature:conflux
EELMMOVE,earthElemental,creature:conflux
EELMWNCE,earthElemental,creature:conflux
EFRTATTK,efreet,creature:inferno
EFRTDFND,efreet,creature:inferno
EFRTKILL,efreet,creature:inferno
EFRTMOVE,efreet,creature:inferno
EFRTWNCE,efreet,creature:inferno
ENCHATTK,enchanter,creature:neutral
ENCHDFND,enchanter,creature:neutral
ENCHKILL,enchanter,creature:neutral
ENCHMOVE,enchanter,creature:neutral
ENCHSHOT,enchanter,creature:neutral
ENCHWNCE,enchanter,creature:neutral
ENERATTK,energyElemental,creature:conflux
ENERDFND,energyElemental,creature:conflux
ENERKILL,energyElemental,creature:conflux
ENERMOVE,energyElemental,creature:conflux
ENERWNCE,energyElemental,creature:conflux
ERTHQUAK,earthquake,spell
ESULATTK,efreetSultan,creature:inferno
ESULDFND,efreetSultan,creature:inferno
ESULKILL,efreetSultan,creature:inferno
ESULMOVE,efreetSultan,creature:inferno
ESULSHOT,efreetSultan,creature:inferno
ESULWNCE,efreetSultan,creature:inferno
EVLIATTK,evilEye,creature:dungeon
EVLIDETH,EVLIDETH,misc
EVLIDFND,evilEye,creature:dungeon
EVLIKILL,evilEye,creature:dungeon
EVLIMOVE,evilEye,creature:dungeon
EVLISHOT,evilEye,creature:dungeon
EVLIWNCE,evilEye,creature:dungeon
EXPERNCE,experience,misc
FAERATTK,fairieDragon,creature:neutral
FAERDFND,fairieDragon,creature:neutral
FAERIE,faerie,misc
FAERKILL,fairieDragon,creature:neutral
FAERMOVE,fairieDragon,creature:neutral
FAERSHOT,fairieDragon,creature:neutral
FAERWNCE,fairieDragon,creature:neutral
FAIDKILL,FAIDKill,misc
FAIDWNCE,FAIDWNCE,misc
FDFLATTK,fireDragonFly,creature:fortress
FDFLDFND,fireDragonFly,creature:fortress
FDFLKILL,fireDragonFly,creature:fortress
FDFLMOVE,fireDragonFly,creature:fortress
FDFLSHOT,fireDragonFly,creature:fortress
FDFLWNCE,fireDragonFly,creature:fortress
FEAR,FEAR,misc
FELMATTK,fireElemental,creature:conflux
FELMDFND,fireElemental,creature:conflux
FELMKILL,fireElemental,creature:conflux
FELMMOVE,fireElemental,creature:conflux
FELMWNCE,fireElemental,creature:conflux
FIRBATTK,firebird,creature:conflux
FIRBDFND,firebird,creature:conflux
FIRBKILL,firebird,creature:conflux
FIRBMOVE,firebird,creature:conflux
FIRBWNCE,firebird,creature:conflux
FIREBALL,fireball,misc
FIREBLST,inferno,spell
FIRESHIE,FIRESHIE,misc
FIRESHLD,fireShield,spell
FIRESTRM,fireStorm,misc
FIREWALL,fireWall,spell
FLAGMINE,FLAGMINE,misc
FLYSPELL,FLYSPELL,misc
FMLRATTK,familiar,creature:inferno
FMLRDFND,familiar,creature:inferno
FMLRKILL,familiar,creature:inferno
FMLRMOVE,familiar,creature:inferno
FMLRWNCE,familiar,creature:inferno
FORCEFLD,forceField,spell
FORGET,forgetfulness,spell
FORTUNE,fortune,spell
FRENZY,frenzy,spell
FROSTING,frostRing,spell
GAZEBO,gazebo,misc
GBASATTK,greaterBasilisk,creature:fortress
GBASDFND,greaterBasilisk,creature:fortress
GBASKILL,greaterBasilisk,creature:fortress
GBASMOVE,greaterBasilisk,creature:fortress
GBASWNCE,greaterBasilisk,creature:fortress
GBLNATTK,goblin,creature:stronghold
GBLNDFND,goblin,creature:stronghold
GBLNKILL,goblin,creature:stronghold
GBLNMOVE,goblin,creature:stronghold
GBLNWNCE,goblin,creature:stronghold
GELFATTK,grandElf,creature:rampart
GELFDFND,grandElf,creature:rampart
GELFKILL,grandElf,creature:rampart
GELFMOVE,grandElf,creature:rampart
GELFSHOT,grandElf,creature:rampart
GELFWNCE,grandElf,creature:rampart
GENIATTK,genie,creature:tower
GENIDFND,genie,creature:tower
GENIE,GENIE,misc
GENIKILL,genie,creature:tower
GENIMOVE,genie,creature:tower
GENIWNCE,genie,creature:tower
GETPROTECTION,GETPROTECTION,misc
GGLMATTK,goldGolem,creature:neutral
GGLMDFND,goldGolem,creature:neutral
GGLMKILL,goldGolem,creature:neutral
GGLMMOVE,goldGolem,creature:neutral
GGLMWNCE,goldGolem,creature:neutral
GHDRATTK,ghostDragon,creature:necropolis
GHDRDFND,ghostDragon,creature:necropolis
GHDRKILL,ghostDragon,creature:necropolis
GHDRMOVE,ghostDragon,creature:necropolis
GHDRWNCE,ghostDragon,creature:necropolis
GNLMATTK,gnollMarauder,creature:fortress
GNLMDFND,gnollMarauder,creature:fortress
GNLMKILL,gnollMarauder,creature:fortress
GNLMMOVE,gnollMarauder,creature:fortress
GNLMWNCE,gnollMarauder,creature:fortress
GNOLATTK,gnoll,creature:fortress
GNOLDFND,gnoll,creature:fortress
GNOLKILL,gnoll,creature:fortress
GNOLMOVE,gnoll,creature:fortress
GNOLWNCE,gnoll,creature:fortress
GODRATTK,goldDragon,creature:rampart
GODRDFND,goldDragon,creature:rampart
GODRKILL,goldDragon,creature:rampart
GODRMOVE,goldDragon,creature:rampart
GODRWNCE,goldDragon,creature:rampart
GOGFLAME,GOGFLAME,misc
GOGGATTK,gog,creature:inferno
GOGGDFND,gog,creature:inferno
GOGGKILL,gog,creature:inferno
GOGGMOVE,gog,creature:inferno
GOGGSHOT,gog,creature:inferno
GOGGWNCE,gog,creature:inferno
GOODLUCK,GOODLUCK,misc
GOODMRLE,GOODMRLE,misc
GRAVEYARD,GRAVEYARD,misc
GRDRATTK,greenDragon,creature:rampart
GRDRDFND,greenDragon,creature:rampart
GRDRKILL,greenDragon,creature:rampart
GRDRMOVE,greenDragon,creature:rampart
GRDRWNCE,greenDragon,creature:rampart
GRIFATTK,griffin,creature:castle
GRIFDFND,griffin,creature:castle
GRIFKILL,griffin,creature:castle
GRIFMOVE,griffin,creature:castle
GRIFWNCE,griffin,creature:castle
GTITATTK,titan,creature:tower
GTITDFND,titan,creature:tower
GTITKILL,titan,creature:tower
GTITMOVE,titan,creature:tower
GTITSHOT,titan,creature:tower
GTITWNCE,titan,creature:tower
GWRDATTK,goblinWolfRider,creature:stronghold
GWRDDFND,goblinWolfRider,creature:stronghold
GWRDKILL,goblinWolfRider,creature:stronghold
GWRDMOVE,goblinWolfRider,creature:stronghold
GWRDWNCE,goblinWolfRider,creature:stronghold
HALBATTK,halberdier,creature:castle
HALBDFND,halberdier,creature:castle
HALBKILL,halberdier,creature:castle
HALBMOVE,halberdier,creature:castle
HALBWNCE,halberdier,creature:castle
HALFATTK,halfling,creature:neutral
HALFDFND,halfling,creature:neutral
HALFKILL,halfling,creature:neutral
HALFMOVE,halfling,creature:neutral
HALFSHOT,halfling,creature:neutral
HALFWNCE,halfling,creature:neutral
HARPATTK,harpy,creature:dungeon
HARPDFND,harpy,creature:dungeon
HARPKILL,harpy,creature:dungeon
HARPMOVE,harpy,creature:dungeon
HARPWNCE,harpy,creature:dungeon
HASTE,HASTE,misc
HCRSATTK,sharpshooter,creature:neutral
HCRSDFND,sharpshooter,creature:neutral
HCRSKILL,sharpshooter,creature:neutral
HCRSMOVE,sharpshooter,creature:neutral
